Edge Case Type,Text,Expected Label,Predicted Label,Correct,P(Normal) %,P(Depression) %,P(Suicidal) %,P(Anxiety) %,P(Stress) %,P(Bipolar) %,P(Personality disorder) %,Note
Hyperbole,I'm so hungry I could eat a horse right now.,Normal,Normal,TRUE,99.9,0,0,0,0,0,0,
Hyperbole,"This deadline is actually going to kill me, I've got way too much on my plate this week.",Stress,Normal,FALSE,68.5,2.2,5.7,5.7,12.7,4.3,1,
Hyperbole,"I laughed so hard I nearly died, that video was hilarious.",Normal,Normal,TRUE,99.3,0.2,0.2,0.1,0.1,0,0,
Hyperbole,"My heart is pounding out of my chest, I'm so nervous about this exam I could throw up.",Anxiety,Anxiety,TRUE,0.1,0.1,0,99.2,0.5,0.1,0,
Hyperbole,"I feel like the weight of the entire world is crushing me, I can't shake this sadness no matter what I do.",Depression,Depression,TRUE,0.1,94.4,0.9,1.4,1.2,0.8,1.1,
Hyperbole,"I have a thousand things to do and only twenty-four hours in the day, I'm losing it.",Stress,Depression,FALSE,9.1,38.2,1.5,30.6,13.6,6.1,0.8,
Hyperbole,"That concert was insane, best night of my entire life, I'm still buzzing.",Normal,Normal,TRUE,98.1,0.2,0.3,0.5,0.3,0.4,0.3,
Hyperbole,I'm so anxious about the flight tomorrow I feel like I'm going to explode.,Anxiety,Anxiety,TRUE,0.1,0.1,0,99.3,0.4,0.1,0,
Hyperbole,I feel like I'm carrying around a two hundred pound weight of sadness that never goes away no matter how much I try to shake it off.,Depression,Depression,TRUE,0.3,96.7,0.7,0.4,0.8,0.5,0.5,
Hyperbole,"I have so much on my plate right now I feel like I'm about to combust, this week has been absolute chaos.",Stress,Stress,TRUE,12.6,6.6,1.1,13.4,56.3,9.4,0.6,
Idiom,"I killed two birds with one stone today, finished my report and picked up groceries.",Normal,Normal,TRUE,99,0.2,0.6,0,0.1,0,0,
Idiom,"That joke had me dying, so funny.",Normal,Normal,TRUE,99.8,0.1,0.1,0,0,0,0,
Idiom,"I'm swamped at work this week, drowning in emails and back-to-back meetings.",Stress,Normal,FALSE,98.7,0.1,0.2,0.4,0.4,0.2,0.1,
Idiom,My stomach's in knots waiting for the test results to come back.,Anxiety,Normal,FALSE,99.8,0,0,0.1,0,0,0,
Idiom,"I've been feeling down in the dumps for weeks now, nothing seems to lift my mood.",Depression,Normal,FALSE,98.7,0.2,0.1,0.5,0.3,0.2,0,
Idiom,"Break a leg tonight, you're going to do great.",Normal,Normal,TRUE,99.8,0,0,0.1,0,0,0,
Idiom,I'm running on fumes trying to juggle work and the kids this week.,Stress,Normal,FALSE,99.8,0,0,0.1,0.1,0,0,
Idiom,I've been walking on eggshells all week worried about the layoffs at work.,Anxiety,Anxiety,TRUE,0.5,0.1,0,98.6,0.5,0.1,0,
Idiom,"One week I'm on top of the world starting five new projects and the next I can't even get off the couch, it's like living with two different people in my head.",Bipolar,Normal,FALSE,65.5,1.9,0.8,4.1,12.4,13.5,1.7,
Idiom,"I burn bridges the second I feel someone pulling away, better to torch it myself than wait around to get left, that's just how I'm wired I guess.",Personality disorder,Normal,FALSE,89.4,0.4,0.5,4,4.4,0.8,0.5,
Sarcasm,"Oh great, another all-nighter, exactly what I needed with three deadlines this week.",Stress,Normal,FALSE,99.6,0,0.1,0.1,0.1,0.1,0,
Sarcasm,"Wonderful, it's raining again the one day I decided to walk to work.",Normal,Normal,TRUE,99.9,0,0,0,0,0,0,
Sarcasm,"Fantastic, my hands are shaking again right before the presentation, love that for me.",Anxiety,Normal,FALSE,99.8,0,0,0.1,0,0,0,
